Block,Residues,Fertilization,Cstock
1,No_residue,Manure,4.9
1,No_residue,Mineral,10.9
1,No_residue,Slurry,7.6
1,residue_retention,Manure,11
1,residue_retention,Mineral,9.6
1,residue_retention,Slurry,9.5
2,No_residue,Manure,4.1
2,No_residue,Mineral,10.1
2,No_residue,Slurry,7.9
2,residue_retention,Manure,8.8
2,residue_retention,Mineral,8.3
2,residue_retention,Slurry,8.3
3,No_residue,Manure,8.5
3,No_residue,Mineral,10
3,No_residue,Slurry,7.6
3,residue_retention,Manure,6.7
3,residue_retention,Mineral,7.5
3,residue_retention,Slurry,8.5
4,No_residue,Manure,5.3
4,No_residue,Mineral,9.3
4,No_residue,Slurry,9.1
4,residue_retention,Manure,7.6
4,residue_retention,Mineral,9.5
4,residue_retention,Slurry,8.5
