Obs,Treatment,Replicates,Time,Y
1,a,201,1,2.68
2,a,202,1,3.95
3,a,203,1,2.28
4,a,204,1,4.08
5,a,205,1,4.09
6,a,206,1,3.79
7,a,207,1,3.82
8,a,208,1,3.67
9,a,209,1,4.12
10,a,210,1,2.77
11,a,211,1,3.77
12,a,212,1,2
13,a,214,1,3.36
14,a,215,1,4.31
15,a,216,1,3.88
16,a,217,1,1.97
17,a,218,1,2.91
18,a,219,1,3.59
19,a,220,1,2.88
20,a,221,1,4.04
21,a,222,1,3.38
22,a,223,1,4.49
23,a,224,1,4.17
24,a,232,1,3.73
25,c,201,1,3.41
26,c,202,1,3.92
27,c,203,1,2.52
28,c,204,1,4.43
29,c,205,1,4.55
30,c,206,1,4.25
31,c,207,1,3
32,c,208,1,4.06
33,c,209,1,4.37
34,c,210,1,2.83
35,c,211,1,4.06
36,c,212,1,2.82
37,c,214,1,3.18
38,c,215,1,4.39
39,c,216,1,3.9
40,c,217,1,2.31
41,c,218,1,3.19
42,c,219,1,3.54
43,c,220,1,2.99
44,c,221,1,4.37
45,c,222,1,3.26
46,c,223,1,4.72
47,c,224,1,4.27
48,c,232,1,4.1
49,p,201,1,2.36
50,p,202,1,3.03
51,p,203,1,1.99
52,p,204,1,3.24
53,p,205,1,3.35
54,p,206,1,3.04
55,p,207,1,2.46
56,p,208,1,2.85
57,p,209,1,3.45
58,p,210,1,2.56
59,p,211,1,2.19
60,p,212,1,2.14
61,p,214,1,2.57
62,p,215,1,2.9
63,p,216,1,3.02
64,p,217,1,1.35
65,p,218,1,2.61
66,p,219,1,2.91
67,p,220,1,2.78
68,p,221,1,3.81
69,p,222,1,3.06
70,p,223,1,2.87
71,p,224,1,3.98
72,p,232,1,3.04
1,a,201,2,2.76
2,a,202,2,3.65
3,a,203,2,2.34
4,a,204,2,3.87
5,a,205,2,3.9
6,a,206,2,3.97
7,a,207,2,3.44
8,a,208,2,3.47
9,a,209,2,3.71
10,a,210,2,2.77
11,a,211,2,3.73
12,a,212,2,1.91
13,a,214,2,3.42
14,a,215,2,4.02
15,a,216,2,3.92
16,a,217,2,1.9
17,a,218,2,2.99
18,a,219,2,3.54
19,a,220,2,3.06
20,a,221,2,3.94
21,a,222,2,3.42
22,a,223,2,4.35
23,a,224,2,4.3
24,a,232,2,3.51
25,c,201,2,3.48
26,c,202,2,4.02
27,c,203,2,2.44
28,c,204,2,4.3
29,c,205,2,4.58
30,c,206,2,4.37
31,c,207,2,2.8
32,c,208,2,3.98
33,c,209,2,4.06
34,c,210,2,2.79
35,c,211,2,3.68
36,c,212,2,1.9
37,c,214,2,3.13
38,c,215,2,4.63
39,c,216,2,3.98
40,c,217,2,2.19
41,c,218,2,3.18
42,c,219,2,3.45
43,c,220,2,3.02
44,c,221,2,4.2
45,c,222,2,3.39
46,c,223,2,4.97
47,c,224,2,4.5
48,c,232,2,3.85
49,p,201,2,2.36
50,p,202,2,3.02
51,p,203,2,1.62
52,p,204,2,3.37
53,p,205,2,3.92
54,p,206,2,3.28
55,p,207,2,3.22
56,p,208,2,2.81
57,p,209,2,3.48
58,p,210,2,2.52
59,p,211,2,2.44
60,p,212,2,1.92
61,p,214,2,3.08
62,p,215,2,2.8
63,p,216,2,3.21
64,p,217,2,1.15
65,p,218,2,2.59
66,p,219,2,2.89
67,p,220,2,2.89
68,p,221,2,3.77
69,p,222,2,2.95
70,p,223,2,3.08
71,p,224,2,3.77
72,p,232,2,3
1,a,201,3,2.5
2,a,202,3,2.93
3,a,203,3,2.29
4,a,204,3,3.79
5,a,205,3,3.54
6,a,206,3,3.78
7,a,207,3,3.46
8,a,208,3,3.19
9,a,209,3,3.57
10,a,210,3,2.75
11,a,211,3,3.67
12,a,212,3,1.88
13,a,214,3,3.28
14,a,215,3,3.38
15,a,216,3,3.71
16,a,217,3,1.45
