date,fertilizer,rep,N2O
2014-10-15,slurry,1,0.011577819
2014-10-15,slurry,2,0.033055577
2014-10-15,slurry,3,1.64167e-10
2014-10-15,slurry,4,0.004522464
2014-10-15,mineral,1,0.023052479
2014-10-15,mineral,2,0.018039453
2014-10-15,mineral,3,0.023439819
2014-10-15,mineral,4,0.008249748
2014-10-15,solid,1,0.013277732
2014-10-15,solid,2,0.050845263
2014-10-15,solid,3,0.006591388
2014-10-15,solid,4,0.003534418
2014-10-16,slurry,1,0.095006507
2014-10-16,slurry,2,0.040143132
2014-10-16,slurry,3,0.009639332
2014-10-16,slurry,4,0.002951968
2014-10-16,mineral,1,0.018092283
2014-10-16,mineral,2,0.012719882
2014-10-16,mineral,3,0.06418385
2014-10-16,mineral,4,0.028595154
2014-10-16,solid,1,0.015291949
2014-10-16,solid,2,0.040706612
2014-10-16,solid,3,0.01070689
2014-10-16,solid,4,0.004325846
2014-10-19,slurry,1,0.002316545
2014-10-19,slurry,2,7.0348e-11
2014-10-19,slurry,3,0.008234915
2014-10-19,slurry,4,0.004551505
2014-10-19,mineral,1,0.002354919
2014-10-19,mineral,2,8.75175e-11
2014-10-19,mineral,3,0.030321688
2014-10-19,mineral,4,0.065017345
2014-10-19,solid,1,0.010862994
2014-10-19,solid,2,0.031448923
2014-10-19,solid,3,0.00465427
2014-10-19,solid,4,0.004484433
2014-10-28,slurry,1,0.022519318
2014-10-28,slurry,2,0.015704917
2014-10-28,slurry,3,0.084966359
2014-10-28,slurry,4,0.050602379
2014-10-28,mineral,1,0.008498494
2014-10-28,mineral,2,0.003295249
2014-10-28,mineral,3,0
2014-10-28,mineral,4,0.064740699
2014-10-28,solid,1,0.00585641
2014-10-28,solid,2,0.015101686
2014-10-28,solid,3,0.005523251
2014-10-28,solid,4,0.002670204
2014-11-04,slurry,1,0.032012328
2014-11-04,slurry,2,0.010889928
2014-11-04,slurry,3,1.55418e-10
2014-11-04,slurry,4,1.49244e-10
2014-11-04,mineral,1,0.013144585
2014-11-04,mineral,2,0.005960189
2014-11-04,mineral,3,0.0040883
2014-11-04,mineral,4,0.002501652
2014-11-04,solid,1,0.011452551
2014-11-04,solid,2,0.0131694
2014-11-04,solid,3,0.006685863
2014-11-04,solid,4,0.00410654
2014-11-18,slurry,1,0.036591222
2014-11-18,slurry,2,0.004583976
2014-11-18,slurry,3,0.015048299
2014-11-18,slurry,4,0.009852109
2014-11-18,mineral,1,0
2014-11-18,mineral,2,1.83218e-10
2014-11-18,mineral,3,0.016245762
2014-11-18,mineral,4,3.37895e-11
2014-11-18,solid,1,0.010045018
2014-11-18,solid,2,0.004262715
2014-11-18,solid,3,0.004170851
2014-11-18,solid,4,0.008984911
2014-11-25,slurry,1,9.61477e-11
2014-11-25,slurry,2,1.5612e-11
2014-11-25,slurry,3,0.150958805
2014-11-25,slurry,4,0.133533886
2014-11-25,mineral,1,1.54681e-11
2014-11-25,mineral,2,3.82599e-11
2014-11-25,mineral,3,3.84619e-11
2014-11-25,mineral,4,7.09663e-11
