sale	piastra	semi	semiGerminati
NaCL_10	1	25	4
NaCL_10	2	25	3
NaCL_10	3	25	1
NaCL_10	4	25	1
NaCL_10	5	25	14
NaCL_10	6	25	2
NaCL_10	7	25	12
NaCL_10	8	25	12
NaCL_10	9	25	6
NaCL_10	10	25	3
NaCL_40	1	25	2
NaCL_40	2	25	1
NaCL_40	3	25	1
NaCL_40	4	25	10
NaCL_40	5	25	9
NaCL_40	6	25	2
NaCL_40	7	25	4
NaCL_40	8	25	3
NaCL_40	9	25	2
NaCL_40	10	25	1
KF_40	1	25	2
KF_40	2	25	1
KF_40	3	25	1
KF_40	4	25	3
KF_40	5	25	3
KF_40	6	25	4
KF_40	7	25	4
KF_40	8	25	5
KF_40	9	25	1
KF_40	10	25	4
ctrl	1	25	22
ctrl	2	25	21
ctrl	3	25	20
ctrl	4	25	19
ctrl	5	25	25
ctrl	6	25	19
ctrl	7	25	19
ctrl	8	25	25
ctrl	9	25	24
ctrl	10	25	23
