Plot,SowingTime,Genotype,Block,Yield
29,autumn,Chiaro,1,4.36
60,autumn,Chiaro,2,4
122,autumn,Chiaro,3,4.23
153,autumn,Chiaro,4,3.83
1,autumn,Collameno,1,3.01
61,autumn,Collameno,2,3.32
123,autumn,Collameno,3,3.27
154,autumn,Collameno,4,3.4
5,autumn,Palomb,2,3.85
72,autumn,Palomb,1,3.85
112,autumn,Palomb,4,3.98
179,autumn,Palomb,3,3.68
2,autumn,Scuro,1,4.97
74,autumn,Scuro,2,3.98
109,autumn,Scuro,3,4.39
168,autumn,Scuro,4,4.14
30,autumn,Sicania,1,4.38
75,autumn,Sicania,2,4.01
137,autumn,Sicania,3,3.94
182,autumn,Sicania,4,2.99
17,autumn,Vesuvio,2,4.47
43,autumn,Vesuvio,1,3.94
124,autumn,Vesuvio,4,4.21
150,autumn,Vesuvio,3,3.93
29,spring,Chiaro,1,2.76
60,spring,Chiaro,2,2.64
122,spring,Chiaro,3,2.25
153,spring,Chiaro,4,2.38
1,spring,Collameno,1,2.5
61,spring,Collameno,2,1.79
123,spring,Collameno,3,1.57
154,spring,Collameno,4,1.77
5,spring,Palomb,2,2.21
72,spring,Palomb,1,2.24
112,spring,Palomb,4,2.05
179,spring,Palomb,3,2.5
2,spring,Scuro,1,3.45
74,spring,Scuro,2,2.94
109,spring,Scuro,3,3.12
168,spring,Scuro,4,2.69
30,spring,Sicania,1,3.24
75,spring,Sicania,2,3.6
137,spring,Sicania,3,3.16
182,spring,Sicania,4,3.08
17,spring,Vesuvio,2,2.44
43,spring,Vesuvio,1,2.34
124,spring,Vesuvio,4,2
150,spring,Vesuvio,3,1.71
