Block,Genotype,Year,Yield
1,4cascine,2006,6.631775416
2,4cascine,2006,6.705397282
3,4cascine,2006,6.499588475
4,4cascine,2006,7.087686255
1,4cascine,2007,14.96492705
2,4cascine,2007,13.58486529
3,4cascine,2007,16.84678903
4,4cascine,2007,14.94412161
1,4cascine,2008,13.80927211
2,4cascine,2008,12.35462752
3,4cascine,2008,14.68355413
4,4cascine,2008,10.92953226
1,casalina,2006,8.033558222
2,casalina,2006,8.265164596
3,casalina,2006,8.644959611
4,casalina,2006,7.759857941
1,casalina,2007,15.53044748
2,casalina,2007,15.80390102
3,casalina,2007,16.89301594
4,casalina,2007,19.0064996
1,casalina,2008,13.33218784
2,casalina,2008,11.62930511
3,casalina,2008,12.19262329
4,casalina,2008,12.38593897
1,classe,2006,7.663977581
2,classe,2006,7.406154693
3,classe,2006,7.106728178
4,classe,2006,7.858700732
1,classe,2007,14.20444604
2,classe,2007,15.43580405
3,classe,2007,15.42910709
4,classe,2007,15.812731
1,classe,2008,12.10259372
2,classe,2008,12.21393391
3,classe,2008,11.91487263
4,classe,2008,11.98882786
1,costanza,2006,6.317777397
2,costanza,2006,6.571175078
3,costanza,2006,6.156207934
4,costanza,2006,5.823433182
1,costanza,2007,12.29928648
2,costanza,2007,11.90126367
3,costanza,2007,15.2617103
4,costanza,2007,13.32466556
1,costanza,2008,10.37354311
2,costanza,2008,9.674930912
3,costanza,2008,10.89426936
4,costanza,2008,10.13937987
1,dimitra,2006,7.503900763
2,dimitra,2006,7.947971422
3,dimitra,2006,7.505793948
4,dimitra,2006,8.126057252
1,dimitra,2007,13.02919468
2,dimitra,2007,16.60978926
3,dimitra,2007,14.77854595
4,dimitra,2007,14.31945033
1,dimitra,2008,13.11318447
2,dimitra,2008,13.47286943
3,dimitra,2008,12.37728377
4,dimitra,2008,12.26837791
1,FDL0101,2006,7.876646597
2,FDL0101,2006,7.371515961
3,FDL0101,2006,7.545418532
4,FDL0101,2006,6.974394326
1,FDL0101,2007,15.94288055
2,FDL0101,2007,15.22029354
3,FDL0101,2007,15.69878412
4,FDL0101,2007,17.13030546
1,FDL0101,2008,12.7664993
2,FDL0101,2008,12.15816293
3,FDL0101,2008,12.39762227
4,FDL0101,2008,15.5824644
1,garisenda,2006,7.238263255
2,garisenda,2006,7.125606698
3,garisenda,2006,6.598931332
4,garisenda,2006,7.218083123
1,garisenda,2007,15.49726966
2,garisenda,2007,15.85099056
3,garisenda,2007,15.61091884
4,garisenda,2007,16.738948
1,garisenda,2008,11.76325498
2,garisenda,2008,12.31734682
3,garisenda,2008,12.53858678
4,garisenda,2008,12.57746166
1,LaBellaCampagnola,2006,7.612181081
2,LaBellaCampagnola,2006,6.764542679
3,LaBellaCampagnola,2006,7.703984951
4,LaBellaCampagnola,2006,7.856654832
1,LaBellaCampagnola,2007,16.7606873
2,LaBellaCampagnola,2007,17.73517509
3,LaBellaCampagnola,2007,13.453775
4,LaBellaCampagnola,2007,17.57110494
1,LaBellaCampagnola,2008,12.51815787
2,LaBellaCampagnola,2008,12.97830094
3,LaBellaCampagnola,2008,11.86863905
4,LaBellaCampagnola,2008,13.23262238
1,LaTorre,2006,7.619209343
2,LaTorre,2006,6.618555178
3,LaTorre,2006,7.068477399
4,LaTorre,2006,7.391322706
1,LaTorre,2007,14.03879034
2,LaTorre,2007,14.18198929
3,LaTorre,2007,13.90488151
4,LaTorre,2007,17.8199879
1,LaTorre,2008,11.2825653
2,LaTorre,2008,11.28866318
3,LaTorre,2008,11.10403207
4,LaTorre,2008,13.96999842
1,linfa,2006,7.422601426
2,linfa,2006,7.014774033
3,linfa,2006,6.77468527
4,linfa,2006,6.805322187
1,linfa,2007,15.28068687
2,linfa,2007,14.58791548
3,linfa,2007,14.49904147
4,linfa,2007,14.80630149
1,linfa,2008,12.09531246
2,linfa,2008,12.29530723
3,linfa,2008,11.98639522
4,linfa,2008,11.1802408
1,marina,2006,7.893932146
2,marina,2006,7.162450892
3,marina,2006,7.734533829
4,marina,2006,7.544046928
1,marina,2007,14.58495738
2,marina,2007,14.55474356
