date,tesi,rep,N2O
15/10/2014,LQ,1,0.011577819
15/10/2014,LQ,2,0.033055577
15/10/2014,LQ,3,1.64E-10
15/10/2014,LQ,4,0.004522464
15/10/2014,MN,1,0.023052479
15/10/2014,MN,2,0.018039453
15/10/2014,MN,3,0.023439819
15/10/2014,MN,4,0.008249748
15/10/2014,SL,1,0.013277732
15/10/2014,SL,2,0.050845263
15/10/2014,SL,3,0.006591388
15/10/2014,SL,4,0.003534418
16/10/2014,LQ,1,0.095006507
16/10/2014,LQ,2,0.040143132
16/10/2014,LQ,3,0.009639332
16/10/2014,LQ,4,0.002951968
16/10/2014,MN,1,0.018092283
16/10/2014,MN,2,0.012719882
16/10/2014,MN,3,0.06418385
16/10/2014,MN,4,0.028595154
16/10/2014,SL,1,0.015291949
16/10/2014,SL,2,0.040706612
16/10/2014,SL,3,0.01070689
16/10/2014,SL,4,0.004325846
19/10/2014,LQ,1,0.002316545
19/10/2014,LQ,2,7.03E-11
19/10/2014,LQ,3,0.008234915
19/10/2014,LQ,4,0.004551505
19/10/2014,MN,1,0.002354919
19/10/2014,MN,2,8.75E-11
19/10/2014,MN,3,0.030321688
19/10/2014,MN,4,0.065017345
19/10/2014,SL,1,0.010862994
19/10/2014,SL,2,0.031448923
19/10/2014,SL,3,0.00465427
19/10/2014,SL,4,0.004484433
28/10/2014,LQ,1,0.022519318
28/10/2014,LQ,2,0.015704917
28/10/2014,LQ,3,0.084966359
28/10/2014,LQ,4,0.050602379
28/10/2014,MN,1,0.008498494
28/10/2014,MN,2,0.003295249
28/10/2014,MN,3,0
28/10/2014,MN,4,0.064740699
28/10/2014,SL,1,0.00585641
28/10/2014,SL,2,0.015101686
28/10/2014,SL,3,0.005523251
28/10/2014,SL,4,0.002670204
04/11/2014,LQ,1,0.032012328
04/11/2014,LQ,2,0.010889928
04/11/2014,LQ,3,1.55E-10
04/11/2014,LQ,4,1.49E-10
04/11/2014,MN,1,0.013144585
04/11/2014,MN,2,0.005960189
04/11/2014,MN,3,0.0040883
04/11/2014,MN,4,0.002501652
04/11/2014,SL,1,0.011452551
04/11/2014,SL,2,0.0131694
04/11/2014,SL,3,0.006685863
04/11/2014,SL,4,0.00410654
18/11/2014,LQ,1,0.036591222
18/11/2014,LQ,2,0.004583976
18/11/2014,LQ,3,0.015048299
18/11/2014,LQ,4,0.009852109
18/11/2014,MN,1,0
18/11/2014,MN,2,1.83E-10
18/11/2014,MN,3,0.016245762
18/11/2014,MN,4,3.38E-11
18/11/2014,SL,1,0.010045018
18/11/2014,SL,2,0.004262715
18/11/2014,SL,3,0.004170851
18/11/2014,SL,4,0.008984911
25/11/2014,LQ,1,9.61E-11
25/11/2014,LQ,2,1.56E-11
25/11/2014,LQ,3,0.150958805
25/11/2014,LQ,4,0.133533886
25/11/2014,MN,1,1.55E-11
25/11/2014,MN,2,3.83E-11
25/11/2014,MN,3,3.85E-11
25/11/2014,MN,4,7.10E-11
25/11/2014,SL,1,5.62E-11
25/11/2014,SL,2,2.46E-10
25/11/2014,SL,3,1.23E-10
25/11/2014,SL,4,5.29E-11
11/12/2014,LQ,1,0.043974913
