date,tesi,rep,N2O
05/05/2015,LQ,1,8.39E-11
05/05/2015,LQ,2,9.08E-11
05/05/2015,LQ,3,8.06E-11
05/05/2015,LQ,4,6.09E-11
05/05/2015,MN,1,2.11E-10
05/05/2015,MN,2,0.004357802
05/05/2015,MN,3,6.98E-11
05/05/2015,MN,4,0
05/05/2015,SL,1,7.66E-11
05/05/2015,SL,2,9.08E-11
05/05/2015,SL,3,4.74E-11
05/05/2015,SL,4,5.64E-11
05/06/2015,LQ,1,0.064151264
05/06/2015,LQ,2,0.076335934
05/06/2015,LQ,3,0.055385596
05/06/2015,LQ,4,0.051250005
05/06/2015,MN,1,0.015980673
05/06/2015,MN,2,0.0025464
05/06/2015,MN,3,0.02303331
05/06/2015,MN,4,0.016478649
05/06/2015,SL,1,0.084862567
05/06/2015,SL,2,0.061941723
05/06/2015,SL,3,0.037189044
05/06/2015,SL,4,0.032331949
06/06/2015,LQ,1,0.750312491
06/06/2015,LQ,2,0.406654743
06/06/2015,LQ,3,0.052642408
06/06/2015,LQ,4,0.191402275
06/06/2015,MN,1,0.075281668
06/06/2015,MN,2,0.031895659
06/06/2015,MN,3,0.048984148
06/06/2015,MN,4,0.0191594
06/06/2015,SL,1,0.532563467
06/06/2015,SL,2,0.385829003
06/06/2015,SL,3,0.062496364
06/06/2015,SL,4,0.14388502
09/06/2015,LQ,1,0.246935206
09/06/2015,LQ,2,0.59057711
09/06/2015,LQ,3,0.070483183
09/06/2015,LQ,4,0.07641287
09/06/2015,MN,1,0.142628078
09/06/2015,MN,2,0.0737672
09/06/2015,MN,3,0.198694512
09/06/2015,MN,4,0.134620433
09/06/2015,SL,1,0.016335821
09/06/2015,SL,2,0.044273012
09/06/2015,SL,3,0.003907448
09/06/2015,SL,4,0.035938948
16/06/2015,LQ,1,0.08020398
16/06/2015,LQ,2,0.292238086
16/06/2015,LQ,3,0.120445104
16/06/2015,LQ,4,0.034115755
16/06/2015,MN,1,0.045445018
16/06/2015,MN,2,0.028957763
16/06/2015,MN,3,0.091049194
16/06/2015,MN,4,0.085019684
16/06/2015,SL,1,0.006393868
16/06/2015,SL,2,0.00856446
16/06/2015,SL,3,0.004033812
16/06/2015,SL,4,0.011159298
08/07/2015,LQ,1,0.012016863
08/07/2015,LQ,2,0.03687473
08/07/2015,LQ,3,0.043862536
08/07/2015,LQ,4,0.029886924
08/07/2015,MN,1,0.021252027
08/07/2015,MN,2,0.012541012
08/07/2015,MN,3,0.025713707
08/07/2015,MN,4,0.026537801
08/07/2015,SL,1,0.006548352
08/07/2015,SL,2,0.002396086
08/07/2015,SL,3,1.29E-10
08/07/2015,SL,4,0.007580169
27/07/2015,LQ,1,0.041002168
27/07/2015,LQ,2,0.022722901
27/07/2015,LQ,3,0.006296783
27/07/2015,LQ,4,0.003047173
27/07/2015,MN,1,0.006617052
27/07/2015,MN,2,8.87E-11
27/07/2015,MN,3,0.005707027
27/07/2015,MN,4,0.004065245
27/07/2015,SL,1,0.004354177
27/07/2015,SL,2,0.007380479
27/07/2015,SL,3,0.004973017
27/07/2015,SL,4,0.003612668
13/08/2015,LQ,1,4.74E-11
13/08/2015,LQ,2,9.30E-11
13/08/2015,LQ,3,0.007649299
13/08/2015,LQ,4,0.004988144
13/08/2015,MN,1,0.007326083
13/08/2015,MN,2,0.002755137
13/08/2015,MN,3,0.005050503
13/08/2015,MN,4,0.005009061
13/08/2015,SL,1,0.007277918
13/08/2015,SL,2,0.016764644
13/08/2015,SL,3,0.007253793
13/08/2015,SL,4,0.007153098
27/08/2015,LQ,1,7.94E-11
27/08/2015,LQ,2,7.67E-11
27/08/2015,LQ,3,1.10E-10
27/08/2015,LQ,4,8.68E-11
27/08/2015,MN,1,0.004022435
27/08/2015,MN,2,0.002436421
27/08/2015,MN,3,0.005046868
27/08/2015,MN,4,0.002002403
27/08/2015,SL,1,0.007645255
27/08/2015,SL,2,0.005591185
27/08/2015,SL,3,0.000881685
27/08/2015,SL,4,7.73E-11
