Nitrogen,Cultivar,Replicate,Yield
N0,V1,1,3.852
N0,V1,2,2.606
N0,V1,3,3.144
N0,V1,4,2.894
N0,V2,1,2.846
N0,V2,2,3.794
N0,V2,3,4.108
N0,V2,4,3.444
N0,V3,1,4.192
N0,V3,2,3.754
N0,V3,3,3.738
N0,V3,4,3.428
N1,V1,1,4.788
N1,V1,2,4.936
N1,V1,3,4.562
N1,V1,4,4.608
N1,V2,1,4.956
N1,V2,2,5.128
N1,V2,3,4.15
N1,V2,4,4.99
N1,V3,1,5.25
N1,V3,2,4.582
N1,V3,3,4.896
N1,V3,4,4.286
N2,V1,1,4.576
N2,V1,2,4.454
N2,V1,3,4.884
N2,V1,4,3.924
N2,V2,1,5.928
N2,V2,2,5.698
N2,V2,3,5.81
N2,V2,4,4.308
N2,V3,1,5.822
N2,V3,2,4.848
N2,V3,3,5.678
N2,V3,4,4.932
N3,V1,1,6.034
N3,V1,2,5.276
N3,V1,3,5.906
N3,V1,4,5.652
N3,V2,1,5.664
N3,V2,2,5.362
N3,V2,3,6.458
N3,V2,4,5.474
N3,V3,1,5.888
N3,V3,2,5.524
N3,V3,3,6.042
N3,V3,4,4.756
N4,V1,1,5.874
N4,V1,2,5.916
N4,V1,3,5.984
N4,V1,4,5.518
N4,V2,1,5.458
N4,V2,2,5.546
N4,V2,3,5.786
N4,V2,4,5.932
N4,V3,1,5.864
N4,V3,2,6.264
N4,V3,3,6.056
N4,V3,4,5.362
