block,tillage,nitrogen,yield
1,min,N0,1.39
2,min,N0,1.60
3,min,N0,1.71
4,min,N0,1.44
1,min,N180,4.57
2,min,N180,5.44
3,min,N180,5.71
4,min,N180,4.94
1,min,N90,3.98
2,min,N90,4.20
3,min,N90,4.93
4,min,N90,4.35
1,noTill,N0,1.64
2,noTill,N0,1.71
3,noTill,N0,1.85
4,noTill,N0,1.44
1,noTill,N180,4.36
2,noTill,N180,5.18
3,noTill,N180,5.98
4,noTill,N180,4.67
1,noTill,N90,3.52
2,noTill,N90,4.14
3,noTill,N90,4.65
4,noTill,N90,4.02
1,conv,N0,1.42
2,conv,N0,1.90
3,conv,N0,2.05
4,conv,N0,1.87
1,conv,N180,5.17
2,conv,N180,5.94
3,conv,N180,5.85
4,conv,N180,4.94
1,conv,N90,3.88
2,conv,N90,4.18
3,conv,N90,4.67
4,conv,N90,3.94
